,hour,station,interval,mu,sigma,ks_statistic,ks_pvalue,n_samples
259,2,TLI,150-250,,,,,0
260,2,UAX,0-25,0.26297551959338644,7.644448044742766,0.058212427724661675,1.4140309936124168e-11,3780
261,2,UAX,25-50,0.5756134039315157,10.851735807729881,0.0375274510272513,0.022949627049721838,1577
262,2,UAX,50-100,5.37384760103627,16.782769276334797,0.014653846124556058,0.7958522482191416,1930
263,2,UAX,100-150,20.89070670967742,22.77661137985419,0.07235470205321426,0.3737572165642089,155
264,2,UAX,150-250,,,,,0
265,2,BJU,0-25,2.4555112286023735,8.938567188195004,0.059283826123255445,9.745752099452884e-11,3370
266,2,BJU,25-50,0.6624803090792019,11.230263248458723,0.017621969568829776,0.7135243046649069,1553
267,2,BJU,50-100,0.7714013692579504,15.438425137784636,0.028672919879228043,0.12023493148855613,1698
268,2,BJU,100-150,5.9070888863636375,15.037971771451817,0.04873702210297992,0.9784632573024917,88
269,2,BJU,150-250,,,,,0
270,2,MPA,0-25,,,,,1
271,2,MPA,25-50,4.210104428738317,10.37184196498398,0.03254138713556598,3.6870635121998563e-05,5136
272,2,MPA,50-100,-6.575579131335554,13.91498682932195,0.02295114131849063,0.1141688161818003,2703
273,2,MPA,100-150,,,,,0
274,2,MPA,150-250,,,,,0
275,2,MON,0-25,3.1720448446899914,8.72667139618517,0.09919322404016212,6.428504842546143e-31,3557
276,2,MON,25-50,-1.3037021474634565,11.200031777262419,0.011085643747900109,0.934308729296251,2326
277,2,MON,50-100,-2.0806322830978545,12.551852601261942,0.02253250096566195,0.2821883052601929,1911
278,2,MON,100-150,,,,,1
279,2,MON,150-250,,,,,0
280,2,NEZ,0-25,0.08873061165877408,8.437474169990987,0.046502455463085346,1.3967015682371452e-07,3801
281,2,NEZ,25-50,-6.82902435284281,11.346298188069039,0.024320309640380677,0.2352896037614126,1794
282,2,NEZ,50-100,-8.151477493628438,14.593355468725502,0.021917106370887174,0.4644430835648299,1491
283,2,NEZ,100-150,-0.2972720000000038,7.114149888677918,0.22244273492074218,0.9188725066011123,5
284,2,NEZ,150-250,,,,,0
285,2,INN,0-25,6.1984497717391305,5.814514631687078,0.058913116049310266,0.8880582542149864,92
286,2,INN,25-50,3.494490411983279,10.20801657636929,0.034586701854955715,6.545513797220567e-05,4306
287,2,INN,50-100,-2.9726144455511285,13.911266497812727,0.02527960250880351,0.2860784753636211,1506
288,2,INN,100-150,,,,,0
289,2,INN,150-250,,,,,0
290,2,AJM,0-25,6.837551978590544,8.24554513959277,0.03882128216135594,0.06639446262054927,1121
291,2,AJM,25-50,3.2577306620209057,10.182111354230006,0.04212702382283373,4.4720774675886356e-07,4305
292,2,AJM,50-100,1.693495759286059,13.627549987254694,0.015971747151843907,0.6595027257477246,2073
293,2,AJM,100-150,8.10354294,14.643599327958388,0.09015744307289542,0.7775044284700151,50
294,2,AJM,150-250,,,,,0
295,2,VIF,0-25,1.3198213413904807,6.923799651021101,0.052544597065081466,4.537108789765343e-10,4013
296,2,VIF,25-50,-4.4967722257374945,9.932713505367362,0.03656777482978918,0.0037427389206298803,2339
297,2,VIF,50-100,-0.928140343910806,13.698246707944087,0.027271683367281085,0.3448624521282261,1166
298,2,VIF,100-150,26.978920000000002,10.950029999999998,0.3413447460685429,0.9332490989253873,2
299,2,VIF,150-250,,,,,0
300,3,UIZ,0-25,1.002260836632409,7.4637414494382215,0.07181215058166124,4.496132815720759e-18,3931
301,3,UIZ,25-50,-2.986271534099066,12.309530788731074,0.012690740827537295,0.976292799685863,1393
302,3,UIZ,50-100,-2.054436534142641,15.263530372399675,0.029928650306406984,0.1847418060399808,1318
303,3,UIZ,100-150,-0.8853180000000009,10.0716867250613,0.24222512698806709,0.8678370702796936,5
304,3,UIZ,150-250,,,,,0
305,3,AJU,0-25,8.255827158064516,8.08845156299726,0.08100138276170804,1.2199235121151075e-06,1085
306,3,AJU,25-50,0.3421042784431137,12.925429864020193,0.052210728284189156,5.588511629944824e-06,2338
307,3,AJU,50-100,-13.493955117837837,17.81980006734709,0.02999312295248968,0.3688331510272961,925
308,3,AJU,100-150,,,,,0
309,3,AJU,150-250,,,,,0
310,3,ATI,0-25,2.232125052205314,7.484726796522361,0.058738502470503384,2.2469564030996603e-10,3312
311,3,ATI,25-50,2.4067826479772885,10.632989215415726,0.020317726662738234,0.5985543385735135,1409
312,3,ATI,50-100,7.29463282025895,13.640036970071742,0.01513871870984812,0.9197029798090983,1313
313,3,ATI,100-150,25.148381032258065,14.25911584861571,0.1415947733362407,0.5176815867216835,31
314,3,ATI,150-250,,,,,0
